"Name","Long_name","Hemisphere","Lobe","Region","Gyrus","YBA_R_color","YBA_G_color","YBA_B_color","whole","LH","RH","deepLH","deepRH","Num_vertex","mean_x","mean_y","mean_z"
"L_TP1_A","Left superior temporal pole A","Left","Temporal","Temporal pole","Superior temporal pole",0,115,230,1,1,0,0,0,56,-31.3213530608586,6.37303168433053,-24.5889699799674
"L_TP1_B","Left superior temporal pole B","Left","Temporal","Temporal pole","Superior temporal pole",0,115,230,1,1,0,0,0,47,-32.1989842272819,11.7655658823379,-29.7167570235881
"L_TP1_C","Left superior temporal pole B","Left","Temporal","Temporal pole","Superior temporal pole",0,115,230,1,1,0,0,0,49,-31.0818170041454,19.1237204415458,-35.0790360898388
"L_TP1_D","Left superior temporal pole C","Left","Temporal","Temporal pole","Superior temporal pole",0,115,230,1,1,0,0,0,66,-37.7323855197791,21.0694154681581,-34.273122064995
"L_TP1_E","Left superior temporal pole D","Left","Temporal","Temporal pole","Superior temporal pole",0,115,230,1,1,0,0,0,76,-45.5233297348023,19.0102745106346,-27.9872933939884
"L_TP1_F","Left superior temporal pole F","Left","Temporal","Temporal pole","Superior temporal pole",0,115,230,1,1,0,0,0,186,-48.2122615075881,12.4510533745571,-20.5843254673866
"L_TP2.1_A","Left superior middle temporal pole A","Left","Temporal","Temporal pole","Superior middle temporal pole",47,151,255,1,1,0,0,0,51,-23.4657184002446,10.2098534340952,-36.3304216347489
"L_TP2.1_B","Left superior middle temporal pole B","Left","Temporal","Temporal pole","Superior middle temporal pole",47,151,255,1,1,0,0,0,73,-31.7214829431821,13.7925268525947,-41.8335647583008
"L_TP2.1_C","Left superior middle temporal pole C","Left","Temporal","Temporal pole","Superior middle temporal pole",47,151,255,1,1,0,0,0,56,-45.101274899074,14.380675980023,-39.6395575659616
"L_TP2.1_D","Left superior middle temporal pole D","Left","Temporal","Temporal pole","Superior middle temporal pole",47,151,255,1,1,0,0,0,119,-51.7000947840074,7.47113622437004,-30.5989554429255
"L_TP2.2_A","Left inferior middle temporal pole A","Left","Temporal","Temporal pole","Inferior middle temporal pole",93,174,255,1,1,0,0,0,55,-24.1581689661199,3.38723322017626,-39.8502985867587
"L_TP2.2_B","Left inferior middle temporal pole B","Left","Temporal","Temporal pole","Inferior middle temporal pole",93,174,255,1,1,0,0,0,47,-27.0941965224895,9.64721416919789,-45.3270551803264
"L_TP2.2_C","Left inferior middle temporal pole C","Left","Temporal","Temporal pole","Inferior middle temporal pole",93,174,255,1,1,0,0,0,50,-42.9535558319092,8.89006009101867,-43.1644800567627
"L_TP2.2_D","Left inferior middle temporal pole D","Left","Temporal","Temporal pole","Inferior middle temporal pole",93,174,255,1,1,0,0,0,92,-52.1970014986785,2.6456143512674,-36.6209273960279
"L_TP3_A","Left inferior temporal pole A","Left","Temporal","Temporal pole","Inferior temporal pole",133,194,255,1,1,0,0,0,62,-29.8650648670812,-5.63653454040327,-43.8808557448849
"L_TP3_B","Left inferior temporal pole B","Left","Temporal","Temporal pole","Inferior temporal pole",133,194,255,1,1,0,0,0,90,-31.7768263498942,0.136938636087709,-44.2141869862874
"L_TP3_C","Left inferior temporal pole C","Left","Temporal","Temporal pole","Inferior temporal pole",133,194,255,1,1,0,0,0,92,-42.3146661260854,-0.476566544612466,-44.4040146288664
"L_TP3_D","Left inferior temporal pole D","Left","Temporal","Temporal pole","Inferior temporal pole",133,194,255,1,1,0,0,0,109,-46.7589959660801,-6.72781445673846,-42.3234019498213
"L_T1_A","Left superior temporal gyrus A","Left","Temporal","Temporal body","Superior temporal gyrus",110,110,255,1,1,0,0,0,176,-51.7979016304016,4.51713752716949,-12.9013534066352
"L_T1_B","Left superior temporal gyrus B","Left","Temporal","Temporal body","Superior temporal gyrus",110,110,255,1,1,0,0,0,219,-53.3689837869444,-4.0996809923728,-7.74079544600695
"L_T1_C","Left superior temporal gyrus C","Left","Temporal","Temporal body","Superior temporal gyrus",110,110,255,1,1,0,0,0,250,-54.9315202941895,-13.258765627861,-1.6660595741719
"L_T1_D","Left superior temporal gyrus D","Left","Temporal","Temporal body","Superior temporal gyrus",110,110,255,1,1,0,0,0,244,-55.1743992664775,-20.8068000605849,3.95096354967471
"L_T1_E","Left superior temporal gyrus E","Left","Temporal","Temporal body","Superior temporal gyrus",110,110,255,1,1,0,0,0,268,-52.556174363663,-29.2725977968814,9.05474678627146
"L_T1_F","Left superior temporal gyrus F","Left","Temporal","Temporal body","Superior temporal gyrus",110,110,255,1,1,0,0,0,202,-55.6728940718245,-37.5648722223716,13.5590188444251
"L_T1_G","Left superior temporal gyrus G","Left","Temporal","Temporal body","Superior temporal gyrus",110,110,255,1,1,0,0,0,132,-57.8601464069251,-46.1110733783606,19.8202598600677
"L_T2.1_A","Left superior middle temporal gyrus A","Left","Temporal","Temporal body","Superior middle temporal gyrus",135,135,255,1,1,0,0,0,108,-58.0802676589401,-2.48212541498382,-20.5817030447501
"L_T2.1_B","Left superior middle temporal gyrus B","Left","Temporal","Temporal body","Superior middle temporal gyrus",135,135,255,1,1,0,0,0,136,-60.8509026415208,-12.5286500611726,-14.5835532581105
"L_T2.1_C","Left superior middle temporal gyrus C","Left","Temporal","Temporal body","Superior middle temporal gyrus",135,135,255,1,1,0,0,0,111,-60.6787964417054,-22.5209247829678,-9.81222840472384
"L_T2.1_D","Left superior middle temporal gyrus D","Left","Temporal","Temporal body","Superior middle temporal gyrus",135,135,255,1,1,0,0,0,124,-59.9830004784369,-32.4739127774392,-3.71365855847515
